DOMINIALITE	ARRONDISSEMENT	ESPECE	CROISSANCE
Alignement	PARIS 20E ARRDT	Tilleul	12,5
Alignement	PARIS 17E ARRDT	Marronnier	18,32
Alignement	PARIS 10E ARRDT	Charme	58,5
Alignement	PARIS 10E ARRDT	Mûrier	46,76
Alignement	PARIS 13E ARRDT	Micocoulier	52,38
Alignement	PARIS 15E ARRDT	Fevier	81,67
Alignement	PARIS 13E ARRDT	Erable	36,36
Alignement	PARIS 10E ARRDT	Platane	87,5
Alignement	PARIS 14E ARRDT	Tilleul	33,33
Alignement	PARIS 13E ARRDT	Noisetier de Byzance	40
Alignement	PARIS 15E ARRDT	Platane	50
Alignement	PARIS 19E ARRDT	Platane	41,67
Alignement	PARIS 5E ARRDT	Poirier à fleurs	35,19
Alignement	PARIS 13E ARRDT	Micocoulier	58,82
Alignement	PARIS 13E ARRDT	Mûrier	32,5
Alignement	PARIS 13E ARRDT	Micocoulier	66
Alignement	PARIS 14E ARRDT	Frêne à fleurs	12
Alignement	PARIS 12E ARRDT	Platane	33,33
Alignement	PARIS 7E ARRDT	Platane	20,83
Alignement	PARIS 20E ARRDT	Charme	30
Alignement	PARIS 18E ARRDT	Erable	16
Alignement	PARIS 18E ARRDT	Erable	16,85
Alignement	PARIS 12E ARRDT	Platane	33,33
Alignement	PARIS 17E ARRDT	Peuplier	100
Alignement	PARIS 13E ARRDT	Arbre aux quarante écus	25,88
Alignement	PARIS 16E ARRDT	Cerisier à fleurs	25
Alignement	PARIS 12E ARRDT	Alisier	10,42
Alignement	PARIS 12E ARRDT	Tilleul	17,5
Alignement	PARIS 4E ARRDT	Marronnier	18,75
Alignement	PARIS 5E ARRDT	Platane	35,29
Alignement	PARIS 17E ARRDT	Platane	37,24
Alignement	BOIS DE BOULOGNE	Platane	33,33
Alignement	PARIS 13E ARRDT	Cerisier à fleurs	26,25
Alignement	PARIS 12E ARRDT	Marronnier	8,82
Alignement	PARIS 20E ARRDT	Orme	60
Alignement	PARIS 12E ARRDT	Troëne	6,67
Alignement	PARIS 18E ARRDT	Erable	22,61
Alignement	PARIS 12E ARRDT	Sophora	21,67
Alignement	BOIS DE BOULOGNE	Platane	40,73
Alignement	PARIS 9E ARRDT	Platane	136,76
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	17,14
Alignement	PARIS 14E ARRDT	Platane	25,86
Alignement	PARIS 2E ARRDT	Tilleul	59,58
Alignement	PARIS 14E ARRDT	Erable	25,33
Alignement	PARIS 16E ARRDT	Platane	26,9
Alignement	PARIS 16E ARRDT	Platane	121,74
Alignement	PARIS 12E ARRDT	Chêne	31,67
Alignement	PARIS 17E ARRDT	Tilleul	18,75
Alignement	PARIS 13E ARRDT	Marronnier	600
Alignement	PARIS 7E ARRDT	Marronnier	16,67
Alignement	PARIS 4E ARRDT	Frêne	26,09
Alignement	PARIS 14E ARRDT	Frêne à fleurs	75
Alignement	PARIS 11E ARRDT	Poirier à fleurs	100
Alignement	PARIS 12E ARRDT	Tilleul	25,86
Alignement	PARIS 19E ARRDT	Platane	35
Alignement	PARIS 20E ARRDT	Sophora	65,96
Alignement	PARIS 15E ARRDT	Tilleul	25
Alignement	PARIS 20E ARRDT	Sophora	9,12
Alignement	PARIS 7E ARRDT	Erable	34,84
Alignement	PARIS 18E ARRDT	Fevier	50,56
Alignement	PARIS 1ER ARRDT	Platane	58,59
Alignement	PARIS 13E ARRDT	Marronnier	29,03
Alignement	PARIS 16E ARRDT	Marronnier	100
Alignement	PARIS 12E ARRDT	Erable	25
Alignement	PARIS 7E ARRDT	Marronnier	37,5
Alignement	BOIS DE BOULOGNE	Noisetier de Byzance	25,38
Alignement	PARIS 16E ARRDT	Marronnier	100
Alignement	PARIS 17E ARRDT	Platane	48,21
Alignement	PARIS 8E ARRDT	Marronnier	33,33
Alignement	PARIS 16E ARRDT	Platane	50
Alignement	PARIS 17E ARRDT	Platane	5,68
Alignement	PARIS 16E ARRDT	Platane	20,37
Alignement	PARIS 16E ARRDT	Platane	33,6
Alignement	PARIS 16E ARRDT	Tilleul	38,82
Alignement	PARIS 18E ARRDT	Ailante	51,85
Alignement	PARIS 16E ARRDT	Tilleul	61,76
Alignement	PARIS 13E ARRDT	Platane	41,67
Alignement	PARIS 18E ARRDT	Erable	100
Alignement	PARIS 11E ARRDT	Charme	29,17
Alignement	PARIS 14E ARRDT	Platane	45,52
Alignement	PARIS 12E ARRDT	Tilleul	12,07
Alignement	PARIS 19E ARRDT	Platane	33,33
Alignement	PARIS 17E ARRDT	Paulownia	20
